done	part of speech	phonemes	romanisation	definition	keywords	tags	gloss
TRUE	noun (inanimate)	dø.ɸãɬ.bø	dofáhlbo	time-series of visual data (often with depth, but captured from only one viewpoint; Nomai tend to consider this "raw"): video, movie (related to dofá 'ray')	video, movie		
TRUE	noun (animate)	dø̃ɸ.cy	dófcu	fan, admirer, follower	fan, admirer, follower	social	
TRUE	verb (transitive)	døɬ	dohl	plant, sow; install, secure, bring in, start to nurture	plant, sow, install	plants	
TRUE	noun (animate)	dø̃ɬ	dóhl	person, sapient being regardless of species; character, avatar (even if Nomai)	person, character, avatar		
TRUE	noun (animate)	døɬ.by	dohlbu	project, venture (originally the group doing it, now increasingly the whole abstract entity)	project, venture		
TRUE	noun (animate)	dø̃.lẽ	dólé	independent researcher, someone who studies the same object without sharing their results, member of a compartmentalised project; rival, competitor, opponent	rival, competitor, opponent		
TRUE	pronoun	dø̃ː	dóo	refers to the experiencer/patient of the (innermost) clause it's in	untranslatable		REF.ABS
TRUE	noun (inanimate)	dɾe.ca.cẽ	drecacé	naturally occurring radioactive element	radioactive	materials	
TRUE	noun (inanimate)	dɾiː	drii	gist, summary, rounded-off description, consensus (typically less decisive than humans would prefer, since more detail is remembered)	gist, summary, consensus		
TRUE	noun (inanimate)	dɾø.ʙiː	drovii	a type of plant with clusters of tiny flowers and a pungent smell; (name) Yarrow	yarrow	names, plants	
TRUE	noun (inanimate)	dɾəʎ	dryll	piece of scrap, spare part, loose component; pet name for a tinkerer	scrap, spare, part, component	objects	
TRUE	noun (inanimate)	dse	dse	period, interval, difference between timestamps, duration	time, period, interval, duration		
TRUE	noun (animate)	dseː	dsee	herd, pack, collective noun for large animals including Nomai themselves	herd, pack, collective	animals, social	
TRUE	verb (transitive)	dsiː	dsii	read, consume the glyphs in, parse linguistic content from	read, parse	language	
TRUE	noun (animate)	dsiː.ndə	dsiindy	reader, member of the audience, (in nonspecific form) Nomai regardless of clan or involvement in any project, general public	reader, audience	language, social	
TRUE	noun (inanimate)	dsøɾ	dsor	computer, processor, control circuit	computer, processor, circuit	tools	
TRUE	noun (inanimate)	dsy.taw	dsutau	anomaly, aberration, something unpredicted even in theory	anomaly, aberration	science	
TRUE	verb (intransitive)	dsə.ɸe.ɕø̃j	dsyfexói	compete, spar, test one's mettle, play a game of skill	compete, spar, test, play	social	
TRUE	noun (inanimate)	dsə.te	dsyte	spike, transient, instantaneous change	spike, transient	science	
TRUE	noun (inanimate)	dy.døj	dudoi	inner equator, equator facing in towards planet's centre of mass	equator	spatial	
TRUE	verb (transitive)	dyj	dui	choose, select, pick; prefer	choose, select, pick, prefer		
TRUE	noun (inanimate)	dy.leː	dulee	(archaic) keystone, initial or recognisable tile of a pattern; (modern) coordinate origin; ornament, decoration, jewel	keystone, tile, origin, ornament, decoration	art, science	
TRUE	adjective	dyː	duu	new, young, recently created	new, young, recent		
TRUE	noun (inanimate)	dwaːj	dwaai	(modern) sensor, scanner; (archaic) rod driven into ground to feel for roots, rocks, water etc	sensor, scanner	tools, technology	
TRUE	noun (inanimate)	dwaːj tɬe.ɸəj.lə̃ɾ	dwaai tlefyilýr	spear, any pole weapon (literally "scaring rod")	spear, polearm, pole, weapon	tools	
TRUE	noun (inanimate)	dwẽ	dwé	energy, power, potential, abstract resource that can be spent to do work	energy, power, potential	science	
TRUE	adjective	dwẽ.mø	dwémo	energised, powered, charged	energised, energized, powered, charged	science	
TRUE	verb (transitive)	dwə.je	dwyje	be romantic with, be in love with, date, flirt	love, romance, romantic, date, flirt	social	
TRUE	verb (transitive)	də̃	dý	sadden, make grieve	sad, sadden, grieve	sensations	
TRUE	adjective	də̃.cã	dýcá	red, near-infrared (colour detected by a Nomai lower eye's first cone cell)	red	colours	
TRUE	noun (inanimate)	də̃.cø̃	dýcó	fabric, cloth, textile	fabric, cloth, textile	objects	
TRUE	adjective	dəɬ.lə̃ː	dyhllýy	unripe, immature, not ready (connotation: precious and central)	unripe, immature	plants	
TRUE	verb (transitive)	də̃.hy	dýhu	raise ears toward, show curious body language about 	curious	body	
TRUE	noun (animate)	də.ɾẽː	dyrée	sister (female person who shares at least one parent); (archaic) female person who shares a mother	sister	family	
TRUE	noun (inanimate)	də.ɾi	dyri	sun (star that has one or more planets, regardless of distance to viewer)	sun, star		
TRUE	noun (inanimate)	də̃w	dýu	inside, within, innards, part hidden by the surface of something	inside, within	spatial	
TRUE	adjective	dəw.haː	dyuhaa	rough, textured, wrinkled	rough, textured, wrinkled		
TRUE	noun (inanimate)	dəːl	dyyl	sphere, ball; either end of a wormhole in space	sphere, ball, wormhole		
TRUE	noun (inanimate)	dəːl cə̃.lə̃ɾ	dyyl cýlýr	white hole (literally 'spitting/emitting sphere')	white hole		
TRUE	noun (inanimate)	dəːl ti.ɬə̃ɾ	dyyl tihlýr	black hole (literally 'sucking/absorbing sphere')	black hole		
TRUE	verb (transitive)	dəːɾ	dyyr	list, enumerate, take inventory of	list, enumerate, inventory		
TRUE	noun (inanimate)	də̃ːw	dýyu	wave, instance of vibration that travels faster than what is vibrating	wave, wavefront		
TRUE	verb (transitive)	dəː.ʙẽw	dyyvéu	(touchlessly) activate, use, turn on, interact with by guiding with the third eye	activate, use, interact	technology	
TRUE	numeral	ẽ	é	one	one	numbers	
TRUE	verb (transitive)	e.be	ebe	ask about, ask to know, ask a question (recipient of question takes lative case)	ask, question		
TRUE	adverb	ẽ‍.‍bə̃	é‍‍bý	notionally, technically, in name only, strictly speaking	notionally, technically, in name only		
TRUE	interjection	e.ce	ece	right! now then! (used when refocusing after a distraction or changing topics according to plan)	right, okay	discourse	
TRUE	noun (inanimate)	e.cẽw	ecéu	platinum (element, related to é 'one')	platinum	materials	
TRUE	verb (transitive)	e.cʎes	ecles	anticipate, predict, expect; look forward to	anticipate, predict		
TRUE	noun (inanimate)	e.dsaːɸ.ɾel	edsaafrel	a type of herb with pungent root pustules that stimulate the sense of heat; (name) Capsicum	capsicum	names, plants	
TRUE	numeral	ẽː	ée	one (connective form)	one	numbers	
TRUE	verb (transitive)	eːɸ	eef	give trouble to, cause a problem for (if past tense, problem was probably solved)	trouble, problem, issue		
TRUE	noun (inanimate)	eː.ɸø̃j	eefói	trouble, problem, issue	trouble, problem, issue		
TRUE	verb (transitive)	eːɬ	eehl	{experiencer} see {agent} (passively, with lower eyes), be visible, be in plain sight	see, visible, sight		
TRUE	noun (inanimate)	eːs	ees	the phoneme /eː/ and the matching letter	/eː/, ee	letters	
TRUE	noun (inanimate)	ẽːɕ	éex	the phoneme /ẽː/ and the matching letter	/ẽː/, ée	letters	
TRUE	noun (inanimate)	e.hø	eho	example, sample, specimen, instance, representative	example, sample, specimen, instance, representative		
TRUE	interjection	ej	ei	marks utterance as already accepted information: as you know, after all, indeed, (something) does actually (verb); admittedly, to be sure	untranslatable, you know, as you know, after all, do		
TRUE	adverb	ẽjɕ	éix	backwards, in reverse, in inverted chronological order	backwards, reverse, inverted		
TRUE	noun (inanimate)	ẽ.ja	éja	outside, exterior, places outside; outer surface as seen from outside	outside, exterior, surface, outer, external		
TRUE	noun (inanimate)	el	el	the phoneme /e/ and the matching letter	/e/, e	letters	
TRUE	verb (intransitive)	e.laɬ	elahl	pass by, have a close encounter (with something), go from approaching to receding (from some perspective)	pass, encounter, past, by		
TRUE	noun (inanimate)	e.la.ɬø̃j	elahlói	close encounter, passing-by; periapsis, lowest point of an orbit; peak, climax, moment of maximum emotion	pass, encounter, periapsis		
TRUE	noun (inanimate)	ẽʎ	éll	the phoneme /ẽ/ and the matching letter	/ẽ/, é	letters	
TRUE	noun (inanimate)	e.ma	ema	legume, bean, pea, large starchy seed	legume, bean, pea		
TRUE	verb (transitive)	e.maː	emaa	bear, tolerate, withstand, last	bear, tolerate, withstand, last		
TRUE	noun (inanimate)	e.mej	emei	part of sky below eye level but above the terrain; horizon, distant places, edge of vision; (interjection) over, end of message, that's all	horizon, over, end		
TRUE	noun (inanimate)	e.ɲiw	enniu	gold (element, related to nni 'two')	gold		
TRUE	noun (animate)	e.pa.te.pe	epatepe	a type of predatory fish known to an unseen non-Nomai species, similar to some sharks; (Outer Wilds system) anglerfish	anglerfish, shark		
TRUE	adverb	e.pe	epe	still, (in negatives) not yet, indicates that there has not been a change	still, yet, not yet		
TRUE	noun (inanimate)	eɾ.ɕiː.li	erxiili	elegant solution, efficient approach, trick as in "there's a trick to it"	solution, trick, knack, mastery		
TRUE	determiner	e.ta	eta	same, said, one already mentioned	same, said		
TRUE	noun (animate)	ẽ.tãː.pi	étáapi	alien, sapient non-Nomai (or with context, not the species being discussed)	alien		
TRUE	noun (inanimate)	ew.møj	eumoi	poem, verse, lyrics (art consisting of language obeying a surface level constraint)	poem, verse, lyrics		
TRUE	noun (inanimate)	ɸaː	faa	paint, dye, pigment	paint, dye, pigment		
TRUE	verb (transitive)	ɸãːɕ	fáax	want (to have or use or approach) (agent desires experiencer)	want		
TRUE	adjective	ɸãːɕ.lə̃ɾ	fáaxlýr	medium-length as measured along the surface it rests on or sticks to	long, length		
TRUE	noun (inanimate)	ɸa.ɸãs	fafás	stem, trunk (of plant); fuselage (of vehicle); spine, backbone (of animal), main thoroughfare (of any system)	stem, trunk, fuselage, spine, backbone, thoroughfare		
TRUE	noun (inanimate)	ɸaj	fai	universe	universe		
TRUE	noun (inanimate)	ɸãj	fái	rubber, (historically) any malleable sap or resin; (currently also) synthetic polymers, analogous to flexible plastics	rubber, plastic, sap, resin		
TRUE	noun (animate)	ɸaj‍.‍bø	fai‍‍bo	great-grandmother (not via female line)	great-grandmother, great grandmother, grandmother	family	
TRUE	noun (inanimate)	ɸa.ʎa	falla	type, kind, class, category (abstract combination of individually identifiable things)	type, kind, class, category		
TRUE	interjection	ɸaw	fau	no, that's true (someone asked a closed question in the negative and I deny the negative statement, affirming the underlying positive)	no, actually		
TRUE	noun (animate)	ɸã.ʙa	fáva	celebrity, notable, someone who reoccurs in stories from afar	celebrity, character		
TRUE	verb (transitive)	ɸa.we	fawe	{experiencer} not wear {agent}, be out of, have a bare body part that would be covered by	wear, naked		
TRUE	noun (inanimate)	ɸẽː.mẽː	féemée	a type of shrub with fragrant light-coloured flowers and tough leathery fruits; (name) Daz	daz	names, plants	
TRUE	conjunction (clause)	ɸe.ɸeɾ	fefer	X conj Y = X so with that in mind Y, seeing as X, Y, given X, Y; with X as background information, Y	so, seeing as, in mind, given		
TRUE	noun (inanimate)	ɸeɸ.naː	fefnaa	a kind of fluffy plant, used for thread and insulation	cotton, fibre, fiber		
TRUE	verb (transitive)	ɸe.ɬiː	fehlii	send, play, emit, express (message, sound, signal, emotion or the like)	send, play, emit, express		
TRUE	noun (animate)	ɸel.dil	feldil	(alternate universe) Hearthian individual, from Late Hearthian valdel of the same meaning (word courtesy of TransienceRealized on AO3)	hearthian		
TRUE	noun (inanimate)	ɸeʎ.cel	fellcel	aluminium (element)	aluminium		
TRUE	noun (inanimate)	ɸeɾ	fer	stripe, streak, shape defined by a continuous curve and a width	stripe, streak		
TRUE	verb (intransitive)	ɸes.ɲẽ	fesnné	be funny, be silly	funny, silly		
TRUE	noun (inanimate)	ɸi	fi	the phoneme /ɸ/ and the matching letter	/ɸ/, f	letters	
TRUE	adjective	ɸiɸ.da	fifda	quiet, soft, with little sound	quiet		
TRUE	noun (inanimate)	ɸiː	fii	mane, fur, long hair	mane, fur, hair		
TRUE	noun (inanimate)	ɸiː.ɕeː	fiixee	(element) inert gas, noble gas	inert gas, noble gas		
TRUE	adjective	ɸi.ja	fija	male (of the Nomai body/brain variant that usually has no womb, or analogous variants in unrelated trees of life)	male		
TRUE	noun (inanimate)	ɸi.ma	fima	woven grass, flax-like cloth	woven, weave, grass, cloth, flax		
TRUE	verb (transitive)	ɸi.we	fiwe	measure, compare against something, take readings of	measure, compare, readings		
TRUE	noun (inanimate)	ɸja.ma	fjama	leave, abandon, discard, consider lost, write off	leave, abandon, discard		
TRUE	noun (inanimate)	fjeʎ	fjell	indicator, (gauge) hand, cursor, pointer, sight	indicator, hand, cursor, pointer, sight		
TRUE	pronoun	ɸjøː	fjoo	you (one person), listener, 2S, second-person singular pronoun	you		2S
TRUE	noun (inanimate)	ɸjø.tej	fjotei	pressed plant fibre, roughly analogous to paper and cardboard	fibre, fiber, paper, card, cardboard		
TRUE	pronoun	ɸjø.ɕøː	fjoxoo	you two, the two of you, 2D, second-person dual pronoun	you		
TRUE	verb (transitive)	ɸmiː	fmii	pat, stroke, ruffle (someone or something fluffy)	pat, stroke, ruffle		pat
TRUE	adverb	ɸnãj	fnái	suddenly, forcefully, unexpectedly	suddenly, forcefully, unexpectedly		
TRUE	verb (transitive)	ɸne	fne	smell, (passively) perceive the smell of	smell		
TRUE	verb (transitive)	ɸneɸ	fnef	fake, forge, lie about, present something else in place of, (technology) spoof, mock	fake, forge, lie, spoof, mock		
TRUE	conjunction (clause)	ɸne.je	fneje	as long as, if only, X conj Y = Y is sufficient condition for X	as long as, if only		
TRUE	verb (transitive)	ɸni	fni	arrange, lay out, place (in deliberate spatial relation to other things)	arrange, lay out, layout, place		
TRUE	noun (inanimate)	ɸniɕ	fnix	any of many plants bearing mildly tart juicy fruit, analogous to apples, crabapples and pears; (name) Malea	apple, pear, fruit, Malea	names, plants	
TRUE	particle	ɸnø	fno	in reality, in actuality, in fact (used for returning from a hypothetical)	in reality, in actuality, in fact, actually		
TRUE	verb (intransitive)	ɸnəːs	fnyys	think something, believe, internally contain a world-model	think, believe		
TRUE	noun (inanimate)	ɸø̃ɬ	fóhl	nest, bedding, cushioned or insulated place; nursery, sickbed	nest, bed, bedding, cushion, insulation, nursery, sickbed		
TRUE	noun (inanimate)	ɸøɬ.lẽ	fohllé	lithosphere, geology (of a place), tectonics; volcanism	lithosphere, geology, tectonics, volcanism		
TRUE	noun (inanimate)	ɸø̃.jø	fójo	pile, heap, stack	pile, heap, stack		
TRUE	noun (animate)	ɸø.ɲa	fonna	creature, beast, explicitly mindless mobile lifeform	creature, beast, animal		
TRUE	noun (inanimate)	ɸø.nə	fony	signal, broadcast, time-varying remotely detectable phenomenon	signal, broadcast		
TRUE	adjective	ɸøː.ɾa	foora	blossoming, flourishing, thriving, lively	blossoming, flourishing, thriving, lively		
TRUE	verb (transitive)	ɸøːs	foos	trim or carve, especially the antlers (a common act of body care, analogous to "shave" or "groom")	trim, carve, shave, groom		
TRUE	noun (inanimate)	ɸøːɕ	foox	(scientific) law, regularity, invariant relationship	scientific law, regularity, invariant		
